lexicon_negatif
Kurang interaktif
Sangat terlalu dasar
Sangat kurang mendalam
Lumayan tidak cocok untuk lanjutan
Suara robotik
Motivasi menurun
Tidak fleksibel
Sangat progres tidak tersimpan
Sangat kurang kontekstual
Lumayan terkadang lag
Lumayan belajar tidak efektif
Cukup belajar tidak efektif
Cukup tidak cocok untuk lanjutan
Terlalu dasar
Lumayan komunitas sepi
Cukup masalah sinkronisasi
Kurang kontekstual
Pengucapan buruk
Cukup progres tidak tersimpan
Fitur percakapan lemah
Kurang personalisasi
Cukup susah login
Cukup desain membingungkan
Sangat sulit digunakan
Cukup metode membosankan
Lumayan pelafalan tidak alami
Sangat masalah sinkronisasi
Tidak sesuai harapan
Cukup sulit digunakan
Lumayan konten terbatas
Cukup kurang variasi
Kurang mendalam
Sangat tidak cocok untuk lanjutan
Cukup tidak akurat
Sering crash
Lumayan bug aplikasi
Materi monoton
Lumayan fitur premium mahal
Sangat pengalaman mengecewakan
Cukup kurang tantangan
Lumayan fitur membingungkan
Cukup komunitas sepi
Butuh koneksi internet
Sangat metode membosankan
Lumayan terlalu dasar
Sangat fitur tidak jalan
Sangat error aplikasi
Cukup motivasi menurun
Cukup tidak realistis
Tidak akurat
Lumayan butuh koneksi internet
Lumayan tidak sesuai harapan
Sangat fitur berbayar
Lumayan fitur tidak jalan
Lumayan desain membingungkan
Sangat butuh koneksi internet
Kurang variasi
Fitur berbayar
Sangat komunitas sepi
Lumayan terlalu mudah
Desain membingungkan
Cukup fitur terkunci
Fitur membingungkan
Lumayan suara robotik
Lumayan kurang mendalam
Cukup latihan diulang-ulang
Sangat desain membingungkan
Lumayan sering crash
Sangat terlalu mudah
Lumayan fitur percakapan lemah
Kurang update
Sangat kurang fleksibilitas
Konten terbatas
Sangat kurang tantangan
Sangat kurang personalisasi
Lumayan fitur berbayar
Sangat sering crash
Cukup pengalaman mengecewakan
Cukup latihan terbatas
Cukup tidak fleksibel
Lumayan kurang variasi
Cukup materi monoton
Cukup butuh koneksi internet
Sangat materi monoton
Cukup terkadang lag
Pelafalan tidak alami
Sulit digunakan
Sangat tidak fleksibel
Sangat bahasa tidak lengkap
Cukup terlalu dasar
Lumayan tidak akurat
Pengulangan membosankan
Sangat terkadang lag
Cukup fitur tidak jalan
Sangat suara robotik
Cukup kurang interaktif
Sangat materi kurang jelas
Lumayan motivasi menurun
Masalah sinkronisasi
Sangat kurang variasi
Cukup suara robotik
Latihan diulang-ulang
Cukup sering crash
Metode membosankan
Fitur terkunci
Cukup terlalu mudah
Kurang fleksibilitas
Cukup pengulangan membosankan
Progres tidak tersimpan
Cukup fitur berbayar
Lumayan pengulangan membosankan
Terkadang lag
Lumayan kurang personalisasi
Sangat belajar tidak efektif
Cukup kurang personalisasi
Lumayan progres tidak tersimpan
Sangat tidak realistis
Cukup iklan mengganggu
Lumayan materi kurang jelas
Lumayan latihan terbatas
Cukup fitur percakapan lemah
Cukup tidak sesuai harapan
Fitur premium mahal
Sangat fitur terkunci
Pengalaman mengecewakan
Sangat fitur percakapan lemah
Error aplikasi
Lumayan tidak realistis
Lumayan sulit digunakan
Sangat terlalu banyak iklan
Sangat akses terbatas
Cukup fitur premium mahal
Cukup kurang kontekstual
Sangat tidak akurat
Iklan mengganggu
Lumayan error aplikasi
Sangat bug aplikasi
Sangat pengulangan membosankan
Lumayan iklan mengganggu
Belajar tidak efektif
Cukup pengucapan buruk
Cukup fitur membingungkan
Lumayan pengucapan buruk
Lumayan tidak fleksibel
Tidak realistis
Cukup kurang fleksibilitas
Lumayan bahasa tidak lengkap
Lumayan latihan diulang-ulang
Lumayan kurang tantangan
Terlalu mudah
Lumayan kurang kontekstual
Latihan terbatas
Lumayan materi monoton
Sangat iklan mengganggu
Sangat fitur premium mahal
Akses terbatas
Bahasa tidak lengkap
Susah login
Tidak cocok untuk lanjutan
Cukup terlalu banyak iklan
Sangat kurang interaktif
Kurang tantangan
Bug aplikasi
Terlalu banyak iklan
Cukup materi kurang jelas
Sangat konten terbatas
Cukup kurang update
Sangat susah login
Cukup pelafalan tidak alami
Sangat latihan diulang-ulang
Komunitas sepi
Lumayan metode membosankan
Materi kurang jelas
Sangat latihan terbatas
Cukup bug aplikasi
Cukup error aplikasi
Sangat fitur membingungkan
Sangat tidak sesuai harapan
Lumayan akses terbatas
Cukup kurang mendalam
Cukup bahasa tidak lengkap
Lumayan kurang fleksibilitas
Cukup konten terbatas
Lumayan susah login
Lumayan terlalu banyak iklan
Sangat kurang update
Cukup akses terbatas
Lumayan fitur terkunci
Fitur tidak jalan
Lumayan pengalaman mengecewakan
Sangat pelafalan tidak alami
Sangat motivasi menurun
Lumayan masalah sinkronisasi
Lumayan kurang update
Lumayan kurang interaktif
Sangat pengucapan buruk
