userName,score,at,content
Pengguna Google,4,2025-04-09 12:27:18,sangat membantu pekerjaan sekolah yang sulit
Pengguna Google,5,2025-04-09 06:57:57,sangat membantu
Pengguna Google,5,2025-04-09 00:55:38,"langganan untuk mencari jawaban yang sekira nya susah menurut saya, Terimakasih brainly👍🏻"
Pengguna Google,5,2025-04-08 14:44:50,dapat membantu saya saat mengerjakan soal yang sulit ! 🤩
Pengguna Google,5,2025-04-08 14:18:31,makasih aplikasinya sangat membantu untuk soal soal yang sulit
Pengguna Google,5,2025-04-08 12:31:46,bagus banget karena ada fitur kunci jawaban soal. jadi kalo ada soal yangg kurang yakin sama jawabannya bisa di cek
Pengguna Google,5,2025-04-08 08:00:43,dengan brainly makasih banyak atas ilmu ilmu yang branly bantu ke akuuu
Pengguna Google,5,2025-04-08 07:26:06,semoga brainly teruss bisa membantu
Pengguna Google,5,2025-04-08 02:35:15,sangat membantu banget
Pengguna Google,5,2025-04-07 14:28:41,karna jawaban sangat benar
Pengguna Google,3,2025-04-07 12:18:05,lumayan lah ya
Pengguna Google,5,2025-04-05 22:31:18,"""Saya sangat puas dengan aplikasi Brainly! Aplikasi ini benar-benar membantu saya dalam memahami berbagai pelajaran dengan cara yang mudah dan cepat. Fitur tanya jawabnya sangat membantu, dan saya dapat memperoleh jawaban dari berbagai topik yang saya butuhkan. Komunitasnya juga sangat responsif, sehingga saya merasa didukung dalam proses belajar. Terima kasih Brainly, aplikasi ini sangat bermanfaat untuk belajar secara mandiri!"""
Pengguna Google,5,2025-04-04 09:00:45,"Brainly sangat membantu dalam menyelesaikan tugas sekolah dengan cepat dan jelas. Fitur pemindaian soal matematika serta solusi buku sekolah sangat berguna. Jawaban terverifikasi memberikan rasa percaya diri, dan komunitasnya aktif serta suportif. Cocok untuk belajar mandiri maupun diskusi. Dengan berbagai mata pelajaran yang tersedia, pengalaman belajar jadi lebih interaktif, efektif, dan menyenangkan bagi semua jenjang pendidikan."
Pengguna Google,5,2025-04-04 04:20:25,aplikasinya membantu sekali😊
Pengguna Google,1,2025-04-03 11:37:59,Jelek banget brainly sekarang. Iklannya bejibun pula anjir. Sangat sangat sangat sangat sangat tidak nyaman menggunakan brainly sekarang mau jawab soal aja susah apalagi cari. IYA² TAU KOK ANDA MAU JUALAN BRAINLY+ KAN!1!1!
Pengguna Google,5,2025-04-01 11:00:43,mantap 😎 gua dapat ranking 1 dengan ezz mantap
Pengguna Google,5,2025-03-31 13:43:33,aku sangat senang karena aku bisa menjawab aku menyakankepada Gugel jawab nya sangat tepat aku Juga senang menanyakan jawab makanya semua keperluan pribadi atau kalian ingin bertanya bisa di tanya di google aku memberi bintang lima karena jawab nya bisa di tanya kapan saja dan dimana saja aku juga ingin mencapai kan sampai 500 bintang terima kasih atas pernyataan yang ku jawab aku juga suka hujan turun kapan saja itu supaya aku bisa men capai kan semua kata kata tersebut aku juga suka dengan kt
Pengguna Google,5,2025-03-29 16:54:50,jawaban nya sangat sesuai dengan yang saya cari . semoga pertanyaan² yang saya cari berikut² nya mendapatkan jawaban yang tepat seperti jawaban dari pertanyaan saya tadi .
Pengguna Google,4,2025-03-29 15:08:40,kadang jawaban ya benar karena masih ada yg mau salah itupun kadang yg kita cari gak ada jadi kukasih bintang 4
