userName,score,at,content
Pengguna Google,2,2025-04-12 04:06:54,"tolong dong udah 4 hari stuck memuat mulu dilevel cerita, mau mulai dilevel cerita memuat mulu!!"
Pengguna Google,5,2025-04-11 17:27:57,sangat membantu aku dalam belajar bahasa
Pengguna Google,5,2025-04-11 17:03:56,"aplikasi nya bagus banget sii, cocok buat yang pemula pengen belajar bahasa inggris, kerenn dah pokok nya semua fitur nya"
Pengguna Google,5,2025-04-11 16:40:56,sangat menarik
Pengguna Google,5,2025-04-11 16:37:00,"sempurna.sangat"" membantu untuk yg ingin belajar bahasa inggris dari nol"
Pengguna Google,5,2025-04-11 16:21:42,aplikasi ini sangat membantu bagi seorang yang pemula
Pengguna Google,5,2025-04-11 15:59:20,bagus tapi sayang jika belajar bahasa Korea bukan langsung arti tapi pertanyaan
Pengguna Google,5,2025-04-11 15:54:11,seru banget belajar kayak main soal nya ada peringkat gitu
Pengguna Google,5,2025-04-11 15:53:24,"aplikasinya seru dan sangat membantu, apalagi sekarang ada fitur buat belajar musik dan matematika"
Pengguna Google,5,2025-04-11 15:35:30,bagus buat belajar bahasa inggris
Pengguna Google,5,2025-04-11 15:10:06,sangat bermanfaat buat belajar
Pengguna Google,5,2025-04-11 15:05:43,ini apikasi penganut setia sih bukan pemain so;Anya ambisi ny banyak katamotivasinya kalo diambil positif approve and approud oof you
Pengguna Google,5,2025-04-11 14:56:49,makasih sudah membantu saya belajar
Pengguna Google,5,2025-04-11 14:56:39,membantu ku untuk belajar bahasa inggliss
Pengguna Google,5,2025-04-11 14:55:24,apk nya bagus aku juga merasa seru belajar di Duolingo tapi lafaz nya ak belum terlalu bisa jadi maaf ya Duolingo untung kamu sabar Duolingo ngajarin ak yg pintar ini (my opini).
Pengguna Google,5,2025-04-11 14:43:36,bagus banget sii membantu banget bljr semua bahasa TPI salah satunya y hihihi Thanks si untuk apk Duolingo nya
Pengguna Google,5,2025-04-11 14:12:04,mantap permainan nya👍
Pengguna Google,5,2025-04-11 14:08:04,"aplikasi ini bermanfaat, karena bisa mengasah bahasa Inggris saya. saya download aplikasi ini agar saya lebih ahli dalam pelajaran bahasa Inggris dan juga saya ingin belajar bahasa bahasa."
Pengguna Google,5,2025-04-11 14:06:56,"asik, tapi kadang itu itu aja yang di bahas kayak milk milk milk aja kalo ga coffee coffee aja"
Pengguna Google,5,2025-04-11 13:50:46,aplikasi nya bagus cocok untuk belajar di rumah kalo tidak ada aktifitas lainya 💐💐🥰
Pengguna Google,5,2025-04-11 13:49:08,sangat menyenangkan
Pengguna Google,5,2025-04-11 13:47:51,sangat cocok untuk kita semua untuk kita ke luar negeri
Pengguna Google,5,2025-04-11 13:02:05,"gue suka ama streak nya yg menyala-nyalaa🔥🔥🔥. Tapi, maaf bgtt kalau sering bolos hehe, maklum manusia bukan nabi boyyy"
Pengguna Google,5,2025-04-11 12:55:14,"belajar seperti bermain game,sangat menyenangkan.. perlahan tapi pasti,sekarang bahasa inggrisku lebih baik lagi thanks duolingo"
Pengguna Google,2,2025-04-11 12:41:42,kenapa semenjak update aplikasi saya jadi basic duo tidak seperti dulu duo yang ber api api
Pengguna Google,5,2025-04-11 12:34:41,"aplikasinya bagus, tapi bisalah iklannya dikurangi. Masa iklan lebih banyak dibandingkan dengan belajarnya"
Pengguna Google,5,2025-04-11 12:32:29,aplikasi bagus buat belajar bahasa baru
Pengguna Google,5,2025-04-11 12:10:46,sangat membantu dan membuat ku menjadi lancar bahasa Inggris.
Pengguna Google,5,2025-04-11 11:57:45,bagus sekali aplikasi ini
Pengguna Google,5,2025-04-11 11:54:11,aplikasinya sangat bagus saya dapat memahaminya dengan cepat
Pengguna Google,5,2025-04-11 11:42:00,aplikasi belajar bahasa yang bagus
Pengguna Google,5,2025-04-11 11:39:34,"sangat bagus......, tapi..... ada iklannyaa...."
Pengguna Google,5,2025-04-11 11:36:04,"sangat bagus, dan membantu"
Pengguna Google,4,2025-04-11 11:30:02,"Aplikasi nya sangat membantu bagi siapapun yang ingin belajar bahsa, karna metode belajarnya dibuat seperti sedang bermain game.Namun, sayang ada unsur LGBT dalam Pembahasan belajar nya, karena itu yang saya temukan ketika belajar bahasa Inggris. saya harap untuk segera dihapus unsur-unsur yang berbau LGBT karna saya sendiri sangat tidak mentoleransi perbuatan LGBT"
Pengguna Google,5,2025-04-11 11:10:48,"Doulingo sangat bagus, tapi saya berharap harga di di duolingo bisa lebih murah untuk berlangganan agar pelajaran seperti saya mampu untuk membelinya seminggu/sebulan, atau pake iklan saja nonton selama berapa menit dan bisa membuka berlangganan sekali 1 hari dalam seminggu"
Pengguna Google,3,2025-04-11 11:10:39,suka macet kalok udah macet harus ngulang dari awal abis itu gk bisa pake yg suara
Pengguna Google,5,2025-04-11 11:00:38,sangat mengedukasikan anak 👍👍👍
Pengguna Google,4,2025-04-11 10:53:40,makasi duolingo udh mempelajari aku dengan bahaha mu.
Pengguna Google,5,2025-04-11 10:51:45,keren aku jadi bisa bahasa jepang
Pengguna Google,5,2025-04-11 10:37:28,sangat bagus sekali Alhamdulillah saya bisa belajar tentang bahasa sedikit demi sedikit. Saya sangat bertirima kasih
Pengguna Google,5,2025-04-11 10:20:25,"ini cocok buat belajar bahasa Inggris, basic nya"
Pengguna Google,5,2025-04-11 10:13:32,"game nya sangat membantu sekali ,bikin pintar😻😻😻😻😻"
Pengguna Google,5,2025-04-11 10:07:41,"Saat ini kursus bahasa Arab di Duolingo hanya tersedia melalui bahasa Inggris, yang menyulitkan pengguna seperti saya yang belum fasih berbahasa Inggris. Penambahan kursus langsung untuk penutur Indonesia akan memudahkan pembelajaran, menghilangkan hambatan bahasa, dan secara signifikan mendukung minat masyarakat Indonesia dalam mempelajari bahasa Arab. Tolong tambahkan, ya! 🥹"
Pengguna Google,3,2025-04-11 09:54:36,gampang gampang saja
Pengguna Google,5,2025-04-11 09:44:14,ini sangat membantu ku untuk bisa mempelajari bahasa jepang dan lain² terimakasih duolingo semoga karena aku belajar bahasa jepang di sini aku bisa mahir berbahasa jepang dan bisa pergi ke jepang amiin🤲
Pengguna Google,5,2025-04-11 09:25:27,Bagus banget untuk belajar bahasa 👍
Pengguna Google,5,2025-04-11 09:12:35,sangat bagus untuk menghafal bahasa
Pengguna Google,3,2025-04-11 08:58:44,"sangat membantu untuk belajar beberapa bahasa luar, ich liebe dich Duolingo!"
Pengguna Google,5,2025-04-11 08:52:45,bagus dan mudah di pahami
Pengguna Google,5,2025-04-11 08:46:31,"aplikasi menyenangkan, mudah dipahami"
Pengguna Google,5,2025-04-11 08:41:15,"sejauh ini bagus,suka!"
Pengguna Google,5,2025-04-11 08:40:13,"menurut saya ini ya menurut saya itu duolingo itu mudah,menarik,dan seru jadi semangat untuk belajar sukaaa pokoknya"
Pengguna Google,5,2025-04-11 08:20:28,belajar di app ini sangat menyenangkan dan seru
Pengguna Google,5,2025-04-11 08:03:15,Duolingo ini sangat bagus mampu untuk mempelajari semua bahasa baik itu bahasa spanyol bahasa Inggris dll....
Pengguna Google,5,2025-04-11 07:48:47,gamenya bagus bisa buat menambah ilmu pengetahuan
Pengguna Google,5,2025-04-11 07:45:34,aplikasi Duolingo ini sangat membantu saya belajar berbagai bahasa
Pengguna Google,5,2025-04-11 07:39:25,bikin semangat belajar bahasa jepang
Pengguna Google,4,2025-04-11 06:47:56,pelajaran yang diberikan bagus cuma ada beberapa bug saat di level yang harus menggunakan mikrofon
Pengguna Google,5,2025-04-11 06:29:04,aplikasinya sangat keren
Pengguna Google,5,2025-04-11 05:55:03,Dengan belajar di Duolingo saya sudah lumayan bisa menyusun kata dalam Bahasa Inggris.
Pengguna Google,5,2025-04-11 05:37:10,ini membantu saya terima kasih bagus saya suka👍
Pengguna Google,5,2025-04-11 05:36:52,Sangat membantu untuk belajar beberapa bahasa
Pengguna Google,5,2025-04-11 05:34:47,sangat cocok untuk pelajar karena dapat memberikan materi baru yang akan di ajarkan oleh guru di sekolah
Pengguna Google,5,2025-04-11 05:30:25,"bagus bro, cuma kurang kreatif sama kurang sulit😆, tapi ini seru!"
Pengguna Google,5,2025-04-11 05:15:44,sangat membantu dalam belajar bahasa Jepang! terus juga gampang-gampang🤭🤭🌷🌷Terima kasih duolonggo🌷
Pengguna Google,5,2025-04-11 05:10:19,bagus untuk pelajaran
Pengguna Google,5,2025-04-11 04:58:51,karena bisa belajar bahasa dengan baik 👍
Pengguna Google,5,2025-04-11 04:34:07,aplikasi ini sangat bagus
Pengguna Google,5,2025-04-11 04:23:50,"bagus banget buat yg buat belajar bahasa luar, rekomendasi deh aplikasi ini"
Pengguna Google,4,2025-04-11 04:16:09,aplikasi yang cocok untuk latihan berbagai macam bahasa
Pengguna Google,5,2025-04-11 04:12:35,saya jadi bisa belajar b.inggris thank you 🤩
Pengguna Google,5,2025-04-11 04:12:09,bagus banget!! suka banget ini bermanfaat banget pokonya Duolingo ja deh 🥰🥰🥰
Pengguna Google,3,2025-04-11 04:06:41,terlalu banyak iklan. nunggu hati terlalu lama. dan sistem pembelajaran yang tidak dijelaskan rumus-rumusnya. dengan adanya kritik ke depannya lebih bisa diperbaiki sehingga pengguna lebih nyaman
Pengguna Google,5,2025-04-11 04:04:29,aku cepet hafal bahasa Korea kalo belajar nya di Duolingo pokoknya keren bgtt
Pengguna Google,5,2025-04-11 03:57:44,bagus membuat sya tidak terlalu kaku untuk bahasa Inggris
Pengguna Google,5,2025-04-11 03:55:09,mantap banget pokoknya
Pengguna Google,5,2025-04-11 03:34:30,aplikasi ini bikin happy belajar nya menyenangkan
Pengguna Google,5,2025-04-11 03:30:47,"aplikasi nya bagus buat belajar dari awal, dan mudah penghapalannya."
Pengguna Google,5,2025-04-11 03:12:40,aplikasi sangat membantu
Pengguna Google,5,2025-04-11 02:37:15,"Sangat menyenangkan! Ada hal unik ketika saya belajar dalam mode cerita ""Big Family"", diceritakan bahwa Shelly berkunjung ke rumah Anna. Anna berkata: ""this is my girlfriend, Shelly"". Anna adalah perempuan, dan dia dipanggil ""daughter"" oleh ibunya. Jadi, apakah mereka lesbian? atau hanya saya yang keliru? 🤔"
Pengguna Google,5,2025-04-11 02:21:21,anjay doulingo bisa bikin aku jago dalam bahasa jepang cuy termasuk bahasa yang lain nah lu pada jangan lupa kalau mau belajar online di doulingo aja bye guys 🤟😋🤟
Pengguna Google,5,2025-04-11 02:11:03,bagus untuk belajar semua bahasa
Pengguna Google,5,2025-04-11 01:19:40,Sangatta baguss dan membantu
Pengguna Google,5,2025-04-11 01:08:52,aplikasinya bagus dan pelajaran yang diberikan mudah dipahami
Pengguna Google,5,2025-04-11 00:52:15,sangat membantu untuk belajar
Pengguna Google,5,2025-04-10 23:56:17,sangat membantu
